"","powAsym_delta_lML","logPowAsym_delta_lML","powAsym_theta_lML","logPowAsym_theta_lML","powAsym_delta_rML","logPowAsym_delta_rML","powAsym_theta_rML","powAsym_beta_rML","powAsym_gam1_rML","relPowAsym_gam1_rML","powAsym_gam2_rML","relSlopeAsym_rML","relAlpha_lF","sampEntAsym_all_lML","sampEntAsym_med_lML","ispc_gam1_iH","PACz_del_gL_lF","PACz_bet_gH_rH","PACz_del_gL_lH","PACzAsym_bet_gH_iH","PACzAsym_del_gH_lRC","relPow_gam1_rCP","logPow_gam1_rCP","relPow_gam2_rCP","logPow_gam2_rCP","relPow_delta_lCP","pow_gam1_lOP","logPow_gam1_lOP","logPow_gam2_lOP","logPow_gam1_C","pow_delta_lL","relPow_gam1_rL","logPow_gam1_rL","relPow_gam2_rL","logPow_gam2_rL","relPow_gam2_rH","logPow_gam2_rH","logPow_gam2_lH","sampEnt_fine_rCP","sampEnt_fine_rL","ispc_gam1_rML","ispc_gam2_rML","PACzAsym_the_gL_iH","PACzAsym_al_gL_lML","relPowAsym_alpha_lRC","relPowAsym_delta_lML","relPowAsym_delta_rML","powAsym_alpha_rML","logSlope_rF","logSlope_lF","logSlope_F","PACz_bet_gH_F","PACz_del_gH_rH","PACzAsym_del_gL_lRC"
"1",1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0
"2",0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
"3",1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0
"4",1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
"5",1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
"6",1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0
"7",0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1
"8",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0
"9",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1
"10",1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0
"11",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0
"12",1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0
"13",1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"15",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"16",1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1
"17",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0
