"","powAsym_beta_lML","powAsym_gam1_lML","ispc_theta_short","ispc_alpha_short","ispc_alpha_iH","ispc_beta_short","ispc_beta_iH","ispc_beta_lRC","ispc_gam1_short","ispc_gam1_lRC","logPow_delta_rF","relPow_alpha_rF","logPow_delta_lF","relPow_alpha_lF","pow_delta_rCP","logPow_delta_rCP","pow_theta_rCP","logPow_theta_rCP","pow_beta_rCP","logPow_beta_rCP","pow_gam1_rCP","logPow_gam1_rCP","pow_delta_lCP","logPow_delta_lCP","logPow_theta_lCP","logPow_beta_lCP","pow_delta_rOP","logPow_delta_rOP","logPow_theta_rOP","pow_beta_rOP","logPow_beta_rOP","pow_gam1_rOP","logPow_gam1_rOP","logPow_gam2_rOP","pow_delta_lOP","logPow_delta_lOP","pow_theta_lOP","logPow_theta_lOP","pow_beta_lOP","logPow_beta_lOP","pow_gam1_lOP","logPow_gam1_lOP","logPow_delta_F","relPow_alpha_F","pow_delta_O","logPow_delta_O","logPow_theta_O","pow_beta_O","logPow_beta_O","pow_gam1_O","logPow_gam1_O","pow_delta_C","logPow_delta_C","logPow_theta_C","pow_delta_lL","logPow_delta_lL","pow_theta_lL","logPow_theta_lL","logPow_alpha_lL","pow_beta_lL","logPow_beta_lL","pow_gam1_lL","logPow_gam1_lL","logPow_gam2_lL","pow_delta_rL","logPow_delta_rL","pow_theta_rL","logPow_theta_rL","pow_beta_rL","logPow_beta_rL","pow_gam1_rL","logPow_gam1_rL","logPow_gam2_rL","pow_delta_rH","logPow_delta_rH","pow_theta_rH","logPow_theta_rH","logPow_beta_rH","logPow_gam1_rH","pow_delta_lH","logPow_delta_lH","logPow_theta_lH","logPow_beta_lH","logPow_gam1_lH","relPowAsym_alpha_rRC","logPowAsym_delta_lML","powAsym_beta_lML","relPowAsym_beta_lML","powAsym_gam1_lML","relPowAsym_gam1_lML","logPowAsym_gam1_lML","powAsym_gam2_lML","relPowAsym_gam2_lML","logPowAsym_gam2_lML","powAsym_gam1_rML","relPowAsym_gam1_rML","powAsym_gam2_rML","logSlopeAsym_lML","sampEntAsym_fine_rRC","sampEntAsym_all_lML","sampEntAsym_fine_lML","sampEntAsym_med_lML","ispc_delta_short","ispc_delta_rRC","ispc_theta_short","ispc_theta_long","ispc_theta_rRC","ispc_theta_lML","ispc_alpha_short","ispc_alpha_long","ispc_alpha_iH","ispc_alpha_lRC","ispc_alpha_rRC","ispc_alpha_lML","ispc_alpha_rML","ispc_beta_short","ispc_beta_long","ispc_beta_iH","ispc_beta_lRC","ispc_beta_rRC","ispc_beta_lML","ispc_gam1_short","ispc_gam1_long","ispc_gam1_iH","ispc_gam2_short","ispc_gam2_long","ispc_gam2_iH","PACz_del_gH_O","PACz_bet_gL_O","PACz_bet_gH_O","logPow_delta_rF","relPow_gam1_rF","logPow_delta_lF","relPow_gam1_lF","pow_delta_rCP","logPow_delta_rCP","pow_theta_rCP","logPow_theta_rCP","logPow_alpha_rCP","logPow_beta_rCP","pow_delta_lCP","logPow_delta_lCP","pow_theta_lCP","logPow_theta_lCP","logPow_alpha_lCP","pow_delta_rOP","logPow_delta_rOP","pow_theta_rOP","logPow_theta_rOP","pow_alpha_rOP","logPow_alpha_rOP","logPow_beta_rOP","pow_delta_lOP","logPow_delta_lOP","pow_theta_lOP","logPow_theta_lOP","pow_alpha_lOP","logPow_alpha_lOP","pow_beta_lOP","logPow_beta_lOP","logPow_delta_F","relPow_gam1_F","pow_delta_O","logPow_delta_O","pow_theta_O","logPow_theta_O","pow_alpha_O","logPow_alpha_O","pow_beta_O","logPow_beta_O","pow_delta_C","logPow_delta_C","pow_theta_C","logPow_theta_C","logPow_alpha_C","pow_delta_lL","logPow_delta_lL","pow_theta_lL","logPow_theta_lL","pow_alpha_lL","logPow_alpha_lL","logPow_beta_lL","pow_delta_rL","logPow_delta_rL","pow_theta_rL","logPow_theta_rL","pow_alpha_rL","logPow_alpha_rL","logPow_beta_rL","pow_delta_rH","logPow_delta_rH","pow_theta_rH","logPow_theta_rH","logPow_alpha_rH","logPow_delta_lH","pow_theta_lH","logPow_theta_lH","logPow_alpha_lH","powAsym_alpha_lRC","relPowAsym_alpha_lRC","powAsym_alpha_rRC","relPowAsym_alpha_rRC","powAsym_delta_lML","powAsym_theta_lML","powAsym_beta_lML","powAsym_gam1_lML","powAsym_gam2_lML","sampEnt_all_lF","sampEnt_fine_lF","sampEnt_med_lF","sampEnt_all_F","sampEnt_fine_F","sampEnt_med_F","ispc_delta_long","ispc_delta_lRC","ispc_theta_short","ispc_theta_long","ispc_theta_iH","ispc_theta_lRC","ispc_alpha_long","ispc_alpha_iH","ispc_beta_short","ispc_beta_long","ispc_beta_iH","ispc_beta_lRC","ispc_beta_rRC","ispc_beta_rML","ispc_gam1_short","ispc_gam1_long","ispc_gam1_iH","ispc_gam1_lRC","ispc_gam2_long","ispc_gam2_iH","ispc_gam2_lRC"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"2",1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"6",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"7",1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"8",1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9",1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
